"Uuid","Void/Retire","Mappings|NARROWER-THAN","Mappings|SAME-AS","Fully specified name:en","Fully specified name:fr","Short name:en","Short name:fr","Description:en","Description:fr","Data class","Data type","Absolute low","Critical low","Normal low","Normal high","Critical high","Absolute high","Units","Allow decimals","Display precision","_version:1","_order:1000","Mappings|BROADER-THAN","Mappings|ASSOCIATED-WITH","Answers","Members"
"163688AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","CIEL:163688;LOINC:6629-6","Spore presence in urine test","","","","A lab test used to determine the presence of fungal spores in urine specimen using a light microscope.","","Test","Coded","","","","","","","","","","","","","","",""
"163689AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","CIEL:163689;LOINC:58416-7","Trichomonas vaginalis presence in urine sediment by light microscopy","","","","A lab test used to determine the presence of trichomonas vaginalis in urine specimen using a light microscope.","","Test","Coded","","","","","","","","","","","","LOINC:5813-1","","",""
"163696AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","CIEL:163696;LOINC:58413-4;SNOMED CT:365689007","Casts presence in urine sediment by light microscopy test","","","","A lab test used to determine the presence of casts in urine specimen using a light microscope.","","Test","Coded","","","","","","","","","","","","LOINC:24124-0","","",""
"163695AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","CIEL:163695;LOINC:58415-9;SNOMED CT:365688004","Crystals type in urine sediment by light microscopy test","","","","A lab test used to determine the presence of crystals in urine specimen using a light microscope.","","Test","Coded","","","","","","","","","","","","LOINC:5782-8","","",""
"161445AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","SNOMED CT:127800008","CIEL:161445;LOINC:11279-7","Urine routine and microscopy","","","","","","Test","Text","","","","","","","","","","","","","","",""
"161444AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","CIEL:161444;LOINC:43889-5;PIH:20651;SNOMED CT:167517009","Urine bile salt test","","","","","","Test","Coded","","","","","","","","","","","","","","",""
"161443AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","CIEL:161443;LOINC:50041-3;LOINC:5775-2;PIH:20650;SNOMED CT:9777005","Urine bile pigment test","","","","","","Test","Coded","","","","","","","","","","","","","","",""
"165580AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","LOINC:30385-9","Red Cell Distribution Width (CV)","","","","","","Test","Numeric","","","11","14.6","","","%","Yes","","","","","","",""
"165579AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","LOINC:21000-5","Red Cell Distribution Width (SD)","","","","","","Test","Numeric","","","37","54","","","fL","Yes","","","","","","",""
"159733AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","AMPATH:6125;SNOMED CT:30994003","CIEL:159733;IMO ProcedureIT:923940;LOINC:15076-3;LOINC:2348-1;SNOMED MVP:1597331000105004","Glucose measurement, quantitative, urine","","","","","","Test","Numeric","","","","","","","mg/dL","Yes","","","","","","",""
